# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	1	1476	+					dnaA		G3M57_RS00005	1476		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	1	1476	+	WP_056757394.1	WP_056757394.1		chromosomal replication initiator protein DnaA	dnaA		G3M57_RS00005	1476	491	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	1674	2291	-							G3M57_RS00010	618		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	1674	2291	-	WP_163228306.1	WP_163228306.1		alpha-ketoglutarate-dependent dioxygenase AlkB			G3M57_RS00010	618	205	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	2385	5045	+							G3M57_RS00015	2661		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	2385	5045	+	WP_163228307.1	WP_163228307.1		M1 family metallopeptidase			G3M57_RS00015	2661	886	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	5442	7337	+					dnaK		G3M57_RS00020	1896		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	5442	7337	+	WP_056757385.1	WP_056757385.1		molecular chaperone DnaK	dnaK		G3M57_RS00020	1896	631	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	7477	8628	+					dnaJ		G3M57_RS00025	1152		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	7477	8628	+	WP_163228308.1	WP_163228308.1		molecular chaperone DnaJ	dnaJ		G3M57_RS00025	1152	383	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	8735	9472	+							G3M57_RS00030	738		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	8735	9472	+	WP_163228309.1	WP_163228309.1		DUF3800 domain-containing protein			G3M57_RS00030	738	245	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	9753	12452	+					mutS		G3M57_RS00035	2700		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	9753	12452	+	WP_163228310.1	WP_163228310.1		DNA mismatch repair protein MutS	mutS		G3M57_RS00035	2700	899	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	12524	15349	+							G3M57_RS00040	2826		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	12524	15349	+	WP_163228311.1	WP_163228311.1		[protein-PII] uridylyltransferase			G3M57_RS00040	2826	941	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	15393	16019	-							G3M57_RS00045	627		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	15393	16019	-	WP_056757373.1	WP_056757373.1		glutathione S-transferase family protein			G3M57_RS00045	627	208	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	16586	18220	+					murJ		G3M57_RS00050	1635		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	16586	18220	+	WP_188916171.1	WP_188916171.1		murein biosynthesis integral membrane protein MurJ	murJ		G3M57_RS00050	1635	544	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	18476	19510	+					trpS		G3M57_RS00055	1035		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	18476	19510	+	WP_163228312.1	WP_163228312.1		tryptophan--tRNA ligase	trpS		G3M57_RS00055	1035	344	
gene	pseudogene	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	19511	19628	-							G3M57_RS00060	118		partial;pseudo
CDS	without_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	19511	19628	-				hypothetical protein			G3M57_RS00060	118		partial;pseudo
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	19627	20907	-							G3M57_RS00065	1281		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	19627	20907	-	WP_163228313.1	WP_163228313.1		cytochrome P450			G3M57_RS00065	1281	426	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	21039	21608	+							G3M57_RS00070	570		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	21039	21608	+	WP_163228314.1	WP_163228314.1		NifU family protein			G3M57_RS00070	570	189	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	21735	22322	+							G3M57_RS00075	588		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	21735	22322	+	WP_163228315.1	WP_163228315.1		malonic semialdehyde reductase			G3M57_RS00075	588	195	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	22438	23088	+							G3M57_RS00080	651		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	22438	23088	+	WP_163228316.1	WP_163228316.1		DUF1131 family protein			G3M57_RS00080	651	216	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	23093	23746	+							G3M57_RS00085	654		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	23093	23746	+	WP_163228317.1	WP_163228317.1		DUF1131 family protein			G3M57_RS00085	654	217	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	23743	24384	+					tsaB		G3M57_RS00090	642		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	23743	24384	+	WP_163228318.1	WP_163228318.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		G3M57_RS00090	642	213	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	24381	24833	+					rimI		G3M57_RS00095	453		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	24381	24833	+	WP_163228319.1	WP_163228319.1		ribosomal protein S18-alanine N-acetyltransferase	rimI		G3M57_RS00095	453	150	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	24895	25302	+							G3M57_RS00100	408		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	24895	25302	+	WP_029589386.1	WP_029589386.1		transcriptional repressor			G3M57_RS00100	408	135	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	25535	26887	+					miaB		G3M57_RS00105	1353		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	25535	26887	+	WP_163228320.1	WP_163228320.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		G3M57_RS00105	1353	450	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	26884	27828	+							G3M57_RS00110	945		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	26884	27828	+	WP_056757337.1	WP_056757337.1		PhoH family protein			G3M57_RS00110	945	314	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	27847	28305	+					ybeY		G3M57_RS00115	459		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	27847	28305	+	WP_163233611.1	WP_163233611.1		rRNA maturation RNase YbeY	ybeY		G3M57_RS00115	459	152	
gene	protein_coding	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	28318	29244	+							G3M57_RS00120	927		
CDS	with_protein	GCF_010977555.1	Primary Assembly	chromosome		NZ_CP048815.1	28318	29244	+	WP_163228321.1	WP_163228321.1		hemolysin family protein			G3M57_RS00120	927	308	
