start,end,score,strand
1645,1665,48,-
2043,2074,65,-
3378,3414,57,+
3550,3586,61,+
6427,6467,55,-
6538,6567,52,-
6619,6653,74,+
6707,6727,47,-
8728,8773,53,-
10629,10648,49,-
12020,12046,56,-
12505,12530,47,+
14095,14127,94,-
15746,15773,68,+
15991,16019,65,+
16891,16930,57,+
17608,17633,47,-
18133,18167,79,-
18309,18338,52,-
18482,18509,69,+
19374,19407,48,+
19877,19909,48,+
20139,20170,65,+
20301,20330,82,-
20892,20923,57,+
21861,21891,67,+
22768,22800,49,-
23187,23214,55,+
25554,25597,52,-
25599,25642,47,+
25689,25726,55,+
25958,25995,53,-
26078,26116,57,+
26264,26292,54,-
26548,26578,60,-
26866,26902,59,+
27611,27640,98,-
31882,31900,50,-
34826,34863,57,-
34927,34960,94,-
36598,36633,71,+
39176,39196,49,+
39230,39254,48,-
39364,39385,63,+
40568,40590,90,-
40623,40653,68,-
40863,40884,62,-
41074,41106,59,-
43595,43635,54,-
44159,44187,54,+
45426,45466,52,-
45539,45572,48,-
50470,50513,54,+
50617,50650,64,-
50694,50725,65,+
50840,50865,57,+
51411,51432,49,+
52082,52112,70,-
52290,52316,56,+
54595,54638,53,-
60248,60283,62,-
60587,60622,54,+
61218,61248,51,+
61594,61616,72,-
63235,63267,62,+
65269,65302,64,-
65999,66034,74,+
66406,66448,50,-
67289,67308,47,+
68878,68917,53,-
69114,69149,55,+
69214,69251,58,+
69476,69507,55,-
69620,69652,78,+
69924,69958,60,+
70388,70415,65,-
70616,70641,57,+
70756,70784,99,+
71299,71319,51,+
72680,72726,52,+
72958,72981,50,+
73424,73441,52,+
73520,73540,47,+
74095,74134,57,+
75980,75998,67,-
77825,77856,65,-
78410,78449,54,-
81225,81256,55,-
81720,81748,54,-
81859,81889,51,-
81983,82011,65,-
82217,82241,59,+
82251,82280,52,-
82553,82582,67,+
82750,82781,49,-
83019,83045,56,-
83107,83135,66,+
83993,84019,56,+
84470,84490,64,+
85293,85308,72,+
86854,86874,48,-
95365,95397,109,-
96006,96025,47,+
97004,97021,69,-
97488,97505,50,+
101828,101859,54,-
102005,102024,49,+
104364,104390,70,+
105135,105161,58,-
106407,106436,98,+
106462,106491,54,-
107440,107485,64,+
107474,107507,50,-
108171,108208,55,+
108467,108501,61,+
108929,108959,51,+
109422,109447,57,+
110321,110349,63,+
110675,110713,53,-
113691,113724,101,+
113929,113962,48,+
114053,114092,86,+
114596,114628,64,+
114735,114769,51,+
115293,115317,48,-
116185,116210,57,-
117466,117496,51,-
118186,118217,106,-
118660,118677,50,+
118972,118989,50,-
119441,119474,48,-
119843,119864,62,+
121333,121362,83,+
122988,123006,50,-
123820,123862,57,-
123943,123966,60,+
124353,124382,98,-
124916,124939,49,-
125203,125230,55,+
125247,125285,71,+
125861,125882,48,+
126236,126265,52,+
126381,126411,55,+
127498,127527,60,+
128983,129006,60,+
129427,129445,50,+
129469,129495,56,+
129556,129582,56,+
129597,129634,47,+
131797,131833,58,-
132076,132118,48,+
132304,132325,63,-
132515,132546,78,+
137854,137892,57,-
138384,138414,51,+
139357,139381,59,+
141548,141582,65,+
147139,147162,60,-
148554,148581,53,-
148737,148767,60,+
148922,148951,52,+
151083,151101,52,+
154917,154955,55,-
155248,155291,69,+
160017,160050,64,-
161084,161107,61,-
165125,165165,53,+
165216,165244,54,-
165995,166027,49,-
166507,166536,65,+
172499,172535,59,+
175346,175368,48,+
176314,176336,48,-
176380,176403,60,-
176411,176435,71,+
176545,176572,68,+
