start,end,score,strand
1550,1581,51,+
1713,1743,77,-
6610,6655,53,-
8493,8512,49,-
8738,8758,64,-
9761,9797,53,-
9952,9973,49,-
10852,10875,60,-
11075,11119,54,-
11590,11608,49,-
12519,12549,63,-
14168,14195,66,+
14320,14362,50,-
14686,14711,57,+
16146,16187,47,-
16362,16396,60,-
16560,16603,53,-
16613,16636,60,-
16755,16795,59,-
17211,17249,57,+
18490,18517,65,-
18658,18683,57,-
19176,19208,49,-
20784,20808,48,+
22010,22045,78,-
24316,24336,48,-
26566,26597,62,-
28047,28090,54,-
28263,28295,61,-
29184,29221,56,-
32885,32908,60,-
33583,33615,59,-
33657,33684,55,+
39081,39119,58,-
39226,39248,61,-
39276,39296,48,-
39309,39349,51,-
42194,42214,51,-
43966,43991,93,+
44048,44077,65,-
44450,44477,68,-
46459,46495,52,-
49502,49524,61,-
50340,50367,71,+
51046,51070,48,-
51777,51803,56,+
53714,53750,59,-
54937,54974,62,+
57358,57389,51,+
57798,57834,58,+
59347,59367,49,+
59665,59684,49,-
60754,60793,57,+
61146,61181,59,+
61322,61347,57,-
65334,65364,85,-
65397,65417,47,-
65569,65591,51,-
65720,65738,50,-
66145,66180,57,+
67873,67903,63,+
70436,70454,50,-
72500,72536,61,+
73445,73464,49,+
73727,73758,79,+
74116,74134,67,+
74643,74668,47,-
74922,74940,49,-
76220,76240,47,+
76887,76931,52,+
78691,78717,73,-
79712,79734,63,-
79931,79950,47,+
81377,81408,50,-
83773,83801,66,+
84119,84137,50,+
84545,84574,52,-
84675,84698,48,-
85238,85267,67,+
85662,85705,111,-
85948,85970,51,+
86241,86265,48,+
86656,86680,71,+
87240,87269,54,-
88432,88455,50,+
89110,89132,61,-
89512,89530,49,+
89693,89708,72,+
91500,91525,47,-
91618,91658,51,+
92007,92049,52,-
92955,92987,59,-
93720,93752,49,-
94000,94019,49,-
95130,95150,48,+
95343,95365,48,+
95375,95405,66,+
97404,97447,50,-
97496,97528,93,+
97856,97887,67,+
98010,98045,57,-
98519,98540,51,-
99983,100007,58,-
100131,100155,59,-
102495,102527,54,+
103025,103063,59,+
103168,103191,60,+
103937,103954,52,+
105022,105058,57,+
113006,113025,47,+
114504,114532,55,+
114737,114768,59,-
115120,115139,66,+
116006,116047,55,-
116745,116771,66,+
117218,117251,47,+
122284,122307,49,-
123211,123230,51,-
126216,126250,58,+
127507,127534,66,+
127939,127975,54,-
128586,128612,63,+
128632,128665,78,+
128989,129014,47,+
129187,129208,52,+
130557,130590,61,+
131315,131343,54,+
132806,132834,68,+
134963,134981,49,-
136290,136311,63,+
136531,136554,60,+
136783,136804,49,+
137803,137837,60,+
138264,138295,59,-
139816,139846,51,+
141288,141311,49,-
143503,143531,54,+
143556,143587,65,+
147820,147842,48,+
149896,149919,60,-
152702,152722,47,+
153949,153978,52,+
154989,155017,68,+
156839,156877,55,+
159131,159157,71,+
161756,161794,58,+
162662,162696,60,+
163686,163704,49,-
168181,168206,47,+
169392,169423,48,+
169683,169727,53,+
169814,169856,51,+
169876,169895,93,-
172062,172091,63,+
172144,172174,57,+
173114,173134,64,-
173241,173270,51,+
175081,175105,48,+
176481,176503,61,-
179001,179018,52,+
180176,180211,47,+
182602,182632,68,+
183290,183337,47,+
184139,184159,51,-
184782,184800,52,+
190065,190106,53,+
191877,191912,58,-
192984,193023,61,-
194511,194528,52,+
195852,195881,57,+
201301,201339,52,+
201599,201618,47,-
202616,202646,51,-
203635,203654,51,+
203695,203731,56,+
203812,203846,48,+
204299,204321,61,+
204562,204579,50,+
204601,204624,60,+
208720,208760,50,+
209814,209834,48,-
210511,210532,48,-
211009,211035,55,+
216233,216256,60,+
218513,218537,60,-
219489,219510,81,+
219597,219636,55,-
222116,222151,59,+
222159,222186,55,+
228758,228778,47,-
230436,230458,48,-
241979,241996,52,+
242204,242225,63,+
244234,244276,50,+
247247,247272,57,+
249836,249865,52,-
251873,251910,57,+
