# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	4576459	1110	-							CSW64_RS00005	1917		old_locus_tag=CSW64_00005
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	4576459	1110	-	WP_172448650.1	WP_172448650.1		DUF885 family protein			CSW64_RS00005	1917	638	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	1214	1723	-							CSW64_RS00010	510		old_locus_tag=CSW64_00010
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	1214	1723	-	WP_099620158.1	WP_099620158.1		FKBP-type peptidyl-prolyl cis-trans isomerase			CSW64_RS00010	510	169	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	1734	2936	-							CSW64_RS00015	1203		old_locus_tag=CSW64_00015
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	1734	2936	-	WP_099620159.1	WP_099620159.1		threonine ammonia-lyase			CSW64_RS00015	1203	400	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	2966	4054	-							CSW64_RS00020	1089		old_locus_tag=CSW64_00020
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	2966	4054	-	WP_099620160.1	WP_099620160.1		GNAT family N-acetyltransferase			CSW64_RS00020	1089	362	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	4183	5475	+							CSW64_RS00025	1293		old_locus_tag=CSW64_00025
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	4183	5475	+	WP_099620161.1	WP_099620161.1		amidohydrolase family protein			CSW64_RS00025	1293	430	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	5604	6242	-					yihA		CSW64_RS00030	639		old_locus_tag=CSW64_00030
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	5604	6242	-	WP_099620162.1	WP_099620162.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		CSW64_RS00030	639	212	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	6239	8026	-					yidC		CSW64_RS00035	1788		old_locus_tag=CSW64_00035
CDS	with_protein	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	6239	8026	-	WP_099620163.1	WP_099620163.1		membrane protein insertase YidC	yidC		CSW64_RS00035	1788	595	
gene	protein_coding	GCF_002749615.1	Primary Assembly	chromosome		NZ_CP024201.1	8035	8436	-					rnpA		CSW64_RS00040	402		old_locus_tag=CSW64_00040
