# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	334	1800	+					dnaA		AQ619_RS00005	1467		old_locus_tag=AQ619_00005
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	334	1800	+	WP_062142476.1	WP_062142476.1		chromosomal replication initiator protein DnaA	dnaA		AQ619_RS00005	1467	488	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	2004	3875	+							AQ619_RS18935	1872		old_locus_tag=AQ619_00010
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	2004	3875	+	WP_166504096.1	WP_166504096.1		hypothetical protein			AQ619_RS18935	1872	623	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	3888	4505	-							AQ619_RS00015	618		old_locus_tag=AQ619_00015
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	3888	4505	-	WP_062142483.1	WP_062142483.1		alpha-ketoglutarate-dependent dioxygenase AlkB			AQ619_RS00015	618	205	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	4599	7235	+							AQ619_RS00020	2637		old_locus_tag=AQ619_00020
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	4599	7235	+	WP_062142486.1	WP_062142486.1		M1 family metallopeptidase			AQ619_RS00020	2637	878	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	7560	9452	+					dnaK		AQ619_RS00025	1893		old_locus_tag=AQ619_00025
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	7560	9452	+	WP_062142489.1	WP_062142489.1		molecular chaperone DnaK	dnaK		AQ619_RS00025	1893	630	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	9613	10764	+					dnaJ		AQ619_RS00030	1152		old_locus_tag=AQ619_00030
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	9613	10764	+	WP_062142492.1	WP_062142492.1		molecular chaperone DnaJ	dnaJ		AQ619_RS00030	1152	383	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	10761	11276	-							AQ619_RS00035	516		old_locus_tag=AQ619_00035
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	10761	11276	-	WP_166504097.1	WP_166504097.1		energy transducer TonB			AQ619_RS00035	516	171	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	11381	14080	+					mutS		AQ619_RS00040	2700		old_locus_tag=AQ619_00040
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	11381	14080	+	WP_062142498.1	WP_062142498.1		DNA mismatch repair protein MutS	mutS		AQ619_RS00040	2700	899	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	14102	16927	+							AQ619_RS00045	2826		old_locus_tag=AQ619_00045
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	14102	16927	+	WP_062142501.1	WP_062142501.1		[protein-PII] uridylyltransferase			AQ619_RS00045	2826	941	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	17712	18092	+							AQ619_RS00050	381		old_locus_tag=AQ619_00050
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	17712	18092	+	WP_062142504.1	WP_062142504.1		DUF393 domain-containing protein			AQ619_RS00050	381	126	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	18089	18529	+							AQ619_RS00055	441		old_locus_tag=AQ619_00055
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	18089	18529	+	WP_062142507.1	WP_062142507.1		DUF3429 domain-containing protein			AQ619_RS00055	441	146	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	18522	19277	+							AQ619_RS00060	756		old_locus_tag=AQ619_00060
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	18522	19277	+	WP_062142511.1	WP_062142511.1		SDR family NAD(P)-dependent oxidoreductase			AQ619_RS00060	756	251	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	19282	20235	+							AQ619_RS00065	954		old_locus_tag=AQ619_00065
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	19282	20235	+	WP_062142514.1	WP_062142514.1		FAD-dependent oxidoreductase			AQ619_RS00065	954	317	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	20335	21897	+					murJ		AQ619_RS00070	1563		old_locus_tag=AQ619_00070
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	20335	21897	+	WP_084745677.1	WP_084745677.1		murein biosynthesis integral membrane protein MurJ	murJ		AQ619_RS00070	1563	520	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	22065	23102	+					trpS		AQ619_RS00075	1038		old_locus_tag=AQ619_00075
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	22065	23102	+	WP_062142522.1	WP_062142522.1		tryptophan--tRNA ligase	trpS		AQ619_RS00075	1038	345	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	23230	24498	-							AQ619_RS00080	1269		old_locus_tag=AQ619_00080
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	23230	24498	-	WP_062142525.1	WP_062142525.1		cytochrome P450			AQ619_RS00080	1269	422	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	24618	25187	+							AQ619_RS00085	570		old_locus_tag=AQ619_00085
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	24618	25187	+	WP_062142528.1	WP_062142528.1		NifU family protein			AQ619_RS00085	570	189	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	25287	25874	+							AQ619_RS00090	588		old_locus_tag=AQ619_00090
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	25287	25874	+	WP_062142531.1	WP_062142531.1		malonic semialdehyde reductase			AQ619_RS00090	588	195	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	25984	26631	+					tsaB		AQ619_RS00095	648		old_locus_tag=AQ619_00095
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	25984	26631	+	WP_062151060.1	WP_062151060.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		AQ619_RS00095	648	215	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	26628	27080	+							AQ619_RS00100	453		old_locus_tag=AQ619_00100
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	26628	27080	+	WP_062142534.1	WP_062142534.1		GNAT family N-acetyltransferase			AQ619_RS00100	453	150	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	27125	27532	+							AQ619_RS00105	408		old_locus_tag=AQ619_00105
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	27125	27532	+	WP_062142537.1	WP_062142537.1		transcriptional repressor			AQ619_RS00105	408	135	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	27713	29065	+					miaB		AQ619_RS00110	1353		old_locus_tag=AQ619_00110
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	27713	29065	+	WP_062142540.1	WP_062142540.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		AQ619_RS00110	1353	450	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	29062	30006	+							AQ619_RS00115	945		old_locus_tag=AQ619_00115
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	29062	30006	+	WP_062142543.1	WP_062142543.1		PhoH family protein			AQ619_RS00115	945	314	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	30041	30493	+					ybeY		AQ619_RS00120	453		old_locus_tag=AQ619_00120
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	30041	30493	+	WP_166504304.1	WP_166504304.1		rRNA maturation RNase YbeY	ybeY		AQ619_RS00120	453	150	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	30503	31408	+							AQ619_RS00125	906		old_locus_tag=AQ619_00125
CDS	with_protein	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	30503	31408	+	WP_062142551.1	WP_062142551.1		hemolysin family protein			AQ619_RS00125	906	301	
gene	protein_coding	GCF_001414055.1	Primary Assembly	chromosome		NZ_CP013002.1	31405	32946	+					lnt		AQ619_RS00130	1542		old_locus_tag=AQ619_00130
