# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	101	502	+							C1707_RS00005	402		old_locus_tag=C1707_00005
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	101	502	+	WP_101715292.1	WP_101715292.1		chromosomal replication initiator DnaA			C1707_RS00005	402	133	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	499	1200	+							C1707_RS00010	702		old_locus_tag=C1707_00010
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	499	1200	+	WP_101715293.1	WP_101715293.1		DUF6456 domain-containing protein			C1707_RS00010	702	233	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	1272	1724	-							C1707_RS00015	453		old_locus_tag=C1707_00015
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	1272	1724	-	WP_101715294.1	WP_101715294.1		PA2169 family four-helix-bundle protein			C1707_RS00015	453	150	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	1798	2154	-							C1707_RS00020	357		old_locus_tag=C1707_00020
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	1798	2154	-	WP_101715295.1	WP_101715295.1		hypothetical protein			C1707_RS00020	357	118	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	2221	3174	-							C1707_RS00025	954		old_locus_tag=C1707_00025
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	2221	3174	-	WP_101715340.1	WP_101715340.1		rhodanese-related sulfurtransferase			C1707_RS00025	954	317	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3252	3413	+							C1707_RS25880	162		
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3252	3413	+	WP_162839355.1	WP_162839355.1		hypothetical protein			C1707_RS25880	162	53	
gene	pseudogene	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3450	3578	-							C1707_RS26500	129		partial;pseudo
CDS	without_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3450	3578	-				hypothetical protein			C1707_RS26500	129		partial;pseudo
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3601	4032	-							C1707_RS00030	432		old_locus_tag=C1707_00030
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	3601	4032	-	WP_101715296.1	WP_101715296.1		SufE family protein			C1707_RS00030	432	143	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	4084	4932	-							C1707_RS00035	849		old_locus_tag=C1707_00035
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	4084	4932	-	WP_101715297.1	WP_101715297.1		HAMP domain-containing histidine kinase			C1707_RS00035	849	282	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	5128	6900	+							C1707_RS00040	1773		old_locus_tag=C1707_00040
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	5128	6900	+	WP_101715341.1	WP_101715341.1		HAMP domain-containing histidine kinase			C1707_RS00040	1773	590	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	7068	7964	-							C1707_RS00045	897		old_locus_tag=C1707_00045
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	7068	7964	-	WP_101715298.1	WP_101715298.1		AraC family transcriptional regulator			C1707_RS00045	897	298	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	8106	8993	+							C1707_RS00050	888		old_locus_tag=C1707_00050
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	8106	8993	+	WP_101715299.1	WP_101715299.1		oxidoreductase			C1707_RS00050	888	295	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	9190	9420	-					rpmE		C1707_RS00055	231		old_locus_tag=C1707_00055
CDS	with_protein	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	9190	9420	-	WP_058349579.1	WP_058349579.1		50S ribosomal protein L31	rpmE		C1707_RS00055	231	76	
gene	protein_coding	GCF_003722335.1	Primary Assembly	chromosome		NZ_CP026100.1	9535	11394	+							C1707_RS00060	1860		old_locus_tag=C1707_00060
