start,end,score,strand
435,464,63,-
2587,2629,53,+
6473,6518,49,-
7603,7623,47,+
8389,8408,51,-
11410,11433,59,-
17331,17362,65,+
17920,17943,50,-
20289,20315,56,-
21835,21877,52,-
22188,22214,58,+
26693,26710,50,-
30085,30119,47,-
34035,34065,52,+
34093,34116,60,+
34372,34401,60,-
34659,34686,55,+
34987,35014,53,-
35564,35603,51,-
39165,39182,69,+
41922,41956,59,-
44636,44680,54,+
46341,46357,52,+
46803,46838,58,+
48523,48543,48,+
55149,55181,64,-
55806,55825,47,+
60768,60784,52,-
65198,65224,56,-
65326,65352,56,+
66211,66228,50,+
66468,66486,51,+
68016,68044,80,+
68153,68188,56,-
68342,68359,52,-
69317,69353,62,-
69721,69740,47,-
70606,70641,58,-
72745,72774,82,-
76849,76871,49,+
78419,78442,60,-
80977,80997,54,+
84217,84250,50,+
85068,85094,101,+
85149,85174,57,+
85341,85360,47,+
86576,86596,47,-
87448,87476,54,+
87543,87576,62,-
88822,88858,65,+
89398,89420,61,+
89977,90017,73,-
90125,90169,91,-
93661,93690,82,-
98751,98781,60,+
98833,98857,71,+
99067,99088,48,-
99801,99822,49,+
104462,104480,51,-
105730,105754,59,-
106322,106362,55,-
106434,106456,49,-
106825,106856,50,+
107802,107833,52,+
108113,108143,49,-
108727,108746,49,-
109143,109174,65,+
109543,109570,70,+
109879,109918,86,-
110087,110114,55,-
110204,110227,64,-
110813,110852,59,+
112021,112040,51,-
112254,112289,62,+
113052,113091,59,+
115641,115661,48,+
116033,116057,59,+
116680,116722,69,-
118866,118886,64,+
120976,121005,51,-
121120,121139,47,-
122610,122635,60,+
123749,123782,48,+
125588,125622,55,-
125732,125765,63,+
127303,127333,51,+
127988,128012,48,-
129063,129088,67,+
131225,131244,47,+
133818,133835,50,-
136098,136127,60,+
136655,136681,66,+
138064,138093,98,+
140030,140054,48,+
145522,145541,47,-
148635,148679,65,+
149415,149450,48,-
150423,150456,52,+
150508,150546,54,+
151826,151849,60,-
157089,157113,48,-
162126,162148,62,+
162683,162724,51,+
165961,165981,49,+
166209,166236,55,+
166730,166762,67,+
166886,166920,60,+
168223,168247,59,+
170451,170469,50,+
170493,170519,56,+
170911,170928,52,+
172575,172593,67,+
172856,172879,60,+
175914,175944,51,-
177104,177134,55,-
178970,179007,55,+
181587,181621,65,+
188473,188510,61,+
188552,188570,67,+
188618,188637,112,-
189254,189283,52,+
192187,192206,47,+
192659,192694,59,+
194568,194607,55,+
195316,195348,58,+
198185,198214,85,-
198561,198585,67,+
199971,199993,63,+
200663,200686,48,-
203853,203885,49,+
206594,206622,54,+
206825,206864,73,-
207929,207961,49,-
207975,208012,69,-
209344,209369,57,+
210010,210040,57,-
212245,212264,66,+
212397,212424,55,+
214286,214315,68,+
215049,215076,65,+
216154,216193,61,+
216653,216677,48,+
216748,216770,48,+
218012,218042,51,+
219453,219486,48,-
220415,220440,67,+
220466,220498,47,-
220544,220576,50,+
222371,222409,55,-
222828,222853,57,-
224967,224992,57,+
227398,227433,62,-
227706,227731,57,+
228872,228900,52,+
230420,230447,55,-
230902,230918,52,+
234462,234490,54,+
236426,236445,49,+
239608,239627,47,-
240227,240250,60,-
240904,240930,56,+
243616,243638,49,-
248067,248088,49,+
248493,248512,47,-
253608,253629,72,-
253860,253877,50,-
254239,254259,64,+
254371,254402,100,-
254410,254426,52,+
260932,260979,48,-
261772,261797,57,-
264271,264303,57,+
264602,264641,55,+
264708,264734,71,+
