# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	23	1498	+					dnaA		B7G68_RS00005	1476		old_locus_tag=B7G68_00005
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	23	1498	+	WP_013077210.1	WP_013077210.1		chromosomal replication initiator protein DnaA	dnaA		B7G68_RS00005	1476	491	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	1579	2190	-							B7G68_RS00010	612		old_locus_tag=B7G68_00010
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	1579	2190	-	WP_013077211.1	WP_013077211.1		alpha-ketoglutarate-dependent dioxygenase AlkB			B7G68_RS00010	612	203	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	2284	4950	+							B7G68_RS00015	2667		old_locus_tag=B7G68_00015
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	2284	4950	+	WP_106906986.1	WP_106906986.1		M1 family metallopeptidase			B7G68_RS00015	2667	888	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	5305	7203	+					dnaK		B7G68_RS00020	1899		old_locus_tag=B7G68_00020
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	5305	7203	+	WP_106906988.1	WP_106906988.1		molecular chaperone DnaK	dnaK		B7G68_RS00020	1899	632	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	7367	8524	+					dnaJ		B7G68_RS00025	1158		old_locus_tag=B7G68_00025
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	7367	8524	+	WP_013077212.1	WP_013077212.1		molecular chaperone DnaJ	dnaJ		B7G68_RS00025	1158	385	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	8625	11327	+					mutS		B7G68_RS00030	2703		old_locus_tag=B7G68_00030
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	8625	11327	+	WP_013077213.1	WP_013077213.1		DNA mismatch repair protein MutS	mutS		B7G68_RS00030	2703	900	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	11407	14229	+							B7G68_RS00035	2823		old_locus_tag=B7G68_00035
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	11407	14229	+	WP_013077214.1	WP_013077214.1		[protein-PII] uridylyltransferase			B7G68_RS00035	2823	940	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	14239	14847	-							B7G68_RS00040	609		old_locus_tag=B7G68_00040
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	14239	14847	-	WP_013077215.1	WP_013077215.1		DsbA family protein			B7G68_RS00040	609	202	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	14966	16597	+					murJ		B7G68_RS00045	1632		old_locus_tag=B7G68_00045
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	14966	16597	+	WP_013077216.1	WP_013077216.1		murein biosynthesis integral membrane protein MurJ	murJ		B7G68_RS00045	1632	543	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	16630	16677	+							B7G68_RS22175	48		
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	16630	16677	+	WP_193852715.1	WP_193852715.1		hypothetical protein			B7G68_RS22175	48	15	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	16759	17793	+					trpS		B7G68_RS00050	1035		old_locus_tag=B7G68_00050
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	16759	17793	+	WP_013077217.1	WP_013077217.1		tryptophan--tRNA ligase	trpS		B7G68_RS00050	1035	344	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	17966	19234	-							B7G68_RS00055	1269		old_locus_tag=B7G68_00055
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	17966	19234	-	WP_013077218.1	WP_013077218.1		cytochrome P450			B7G68_RS00055	1269	422	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	19354	19929	+							B7G68_RS00060	576		old_locus_tag=B7G68_00060
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	19354	19929	+	WP_013077219.1	WP_013077219.1		NifU family protein			B7G68_RS00060	576	191	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	20006	20593	+							B7G68_RS00065	588		old_locus_tag=B7G68_00065
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	20006	20593	+	WP_013077220.1	WP_013077220.1		malonic semialdehyde reductase			B7G68_RS00065	588	195	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	20670	21305	+							B7G68_RS00070	636		old_locus_tag=B7G68_00070
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	20670	21305	+	WP_013077221.1	WP_013077221.1		DUF1131 family protein			B7G68_RS00070	636	211	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	21309	21953	+					tsaB		B7G68_RS00075	645		old_locus_tag=B7G68_00075
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	21309	21953	+	WP_013077222.1	WP_013077222.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		B7G68_RS00075	645	214	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	21950	22402	+							B7G68_RS00080	453		old_locus_tag=B7G68_00080
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	21950	22402	+	WP_013077223.1	WP_013077223.1		GNAT family N-acetyltransferase			B7G68_RS00080	453	150	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	22449	22856	+							B7G68_RS00085	408		old_locus_tag=B7G68_00085
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	22449	22856	+	WP_013077224.1	WP_013077224.1		transcriptional repressor			B7G68_RS00085	408	135	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	22919	24265	+					miaB		B7G68_RS00090	1347		old_locus_tag=B7G68_00090
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	22919	24265	+	WP_013077225.1	WP_013077225.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		B7G68_RS00090	1347	448	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	24262	25206	+							B7G68_RS00095	945		old_locus_tag=B7G68_00095
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	24262	25206	+	WP_013077226.1	WP_013077226.1		PhoH family protein			B7G68_RS00095	945	314	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	25241	25696	+					ybeY		B7G68_RS00100	456		old_locus_tag=B7G68_00100
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	25241	25696	+	WP_167535149.1	WP_167535149.1		rRNA maturation RNase YbeY	ybeY		B7G68_RS00100	456	151	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	25705	26625	+							B7G68_RS00105	921		old_locus_tag=B7G68_00105
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	25705	26625	+	WP_013077228.1	WP_013077228.1		hemolysin family protein			B7G68_RS00105	921	306	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	26622	28214	+					lnt		B7G68_RS00110	1593		old_locus_tag=B7G68_00110
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	26622	28214	+	WP_013077229.1	WP_013077229.1		apolipoprotein N-acyltransferase	lnt		B7G68_RS00110	1593	530	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	28243	28671	+							B7G68_RS00115	429		old_locus_tag=B7G68_00115
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	28243	28671	+	WP_167535112.1	WP_167535112.1		helix-turn-helix domain-containing protein			B7G68_RS00115	429	142	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	28776	29999	+					metK		B7G68_RS00120	1224		old_locus_tag=B7G68_00120
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	28776	29999	+	WP_013077231.1	WP_013077231.1		methionine adenosyltransferase	metK		B7G68_RS00120	1224	407	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	30089	30769	+					trmB		B7G68_RS00125	681		old_locus_tag=B7G68_00125
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	30089	30769	+	WP_013077232.1	WP_013077232.1		tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB		B7G68_RS00125	681	226	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	30809	31342	-					ppa		B7G68_RS00130	534		old_locus_tag=B7G68_00130
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	30809	31342	-	WP_013077233.1	WP_013077233.1		inorganic diphosphatase	ppa		B7G68_RS00130	534	177	
gene	protein_coding	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	31590	32180	+					rimP		B7G68_RS00135	591		old_locus_tag=B7G68_00135
CDS	with_protein	GCF_003015125.1	Primary Assembly	chromosome		NZ_CP027850.1	31590	32180	+	WP_013077234.1	WP_013077234.1		ribosome maturation factor RimP	rimP		B7G68_RS00135	591	196	
