start,end,score,strand
732,756,88,-
1026,1051,71,+
2101,2140,61,+
3437,3461,59,-
3565,3594,52,+
5306,5326,51,-
5453,5486,61,-
6998,7023,67,-
7192,7215,48,-
8272,8296,59,-
10627,10647,64,-
14025,14055,51,-
14422,14443,49,+
14541,14584,54,+
15771,15814,49,-
20807,20831,48,-
21603,21647,48,+
23770,23788,50,-
24747,24771,48,-
31964,31989,67,+
32950,32968,67,-
33007,33028,51,-
33086,33115,98,+
34430,34459,98,-
34549,34582,58,-
34845,34878,48,-
35063,35085,61,-
36831,36864,65,-
37291,37327,62,-
37770,37803,80,-
41028,41052,48,-
42787,42814,55,+
43430,43450,47,-
45255,45300,65,-
45512,45541,98,+
45759,45798,51,-
46188,46208,64,-
47119,47147,60,+
47234,47251,50,-
47263,47292,67,-
49092,49125,64,-
50363,50388,57,-
52521,52540,47,-
52667,52688,48,-
52833,52859,56,-
54704,54733,98,-
55038,55062,48,+
55215,55234,47,-
56428,56460,57,+
56469,56496,69,-
56601,56628,55,+
63823,63840,50,+
65597,65630,64,-
65828,65856,71,+
66089,66114,72,-
67213,67231,85,-
71037,71070,68,-
72150,72189,58,-
74118,74143,57,-
74414,74439,47,-
74570,74597,85,-
75843,75877,59,-
78171,78198,55,-
80351,80374,59,+
80514,80556,53,+
80578,80611,62,-
84286,84310,48,+
85680,85709,69,+
89373,89413,55,-
91335,91356,48,+
93256,93279,60,-
93963,93989,56,-
94612,94644,62,+
96117,96157,54,-
96231,96255,48,-
96854,96886,65,-
97658,97697,49,-
97948,97968,47,-
99942,99971,98,+
99953,100000,79,-
104399,104445,49,+
104732,104749,50,-
105409,105433,59,-
106478,106513,65,-
108787,108816,58,-
112381,112411,68,-
113446,113465,112,+
113511,113534,72,-
113857,113890,48,+
115146,115164,67,-
115165,115210,53,+
116308,116337,115,-
116367,116403,61,-
119390,119423,48,+
121071,121089,52,-
121503,121535,54,-
123356,123386,83,+
125657,125683,68,+
125712,125742,62,+
127203,127229,55,+
127915,127946,63,+
127968,128003,62,-
128040,128068,58,-
128079,128099,93,+
129015,129046,60,+
129119,129153,102,+
129194,129211,69,-
130028,130070,57,+
130556,130572,52,-
130586,130604,50,-
131235,131268,63,-
131986,132015,63,+
132099,132128,65,-
134830,134853,89,-
137789,137808,47,-
138036,138072,56,-
138527,138552,57,+
138670,138691,63,-
139141,139173,59,-
139425,139444,49,+
139771,139792,51,+
141027,141049,48,+
142190,142212,61,-
142792,142825,62,-
143530,143563,62,-
144288,144304,52,-
144930,144952,48,-
144959,144983,48,+
146335,146358,72,-
147994,148014,49,-
149522,149571,90,-
151434,151471,56,-
152543,152573,51,-
153577,153604,71,-
153898,153923,69,-
155618,155647,98,+
155669,155698,63,-
157239,157258,49,+
157328,157376,49,+
157776,157818,54,-
158046,158068,89,-
163399,163417,50,-
165036,165069,56,-
165559,165584,47,-
166281,166306,69,-
170155,170174,47,-
171600,171620,49,-
175376,175398,61,-
178010,178029,66,-
178910,178940,51,-
181942,181974,67,-
182526,182563,64,-
184378,184406,54,-
184993,185017,71,-
185592,185625,65,-
185690,185720,68,-
186843,186869,68,+
187898,187941,52,-
187950,187967,69,+
188025,188049,70,-
188248,188266,49,-
189772,189813,54,-
191010,191050,55,+
191983,192010,53,-
192339,192372,92,+
192404,192436,108,-
194283,194305,48,+
194569,194592,49,+
196039,196079,49,-
196698,196716,50,-
200125,200142,50,-
200271,200294,48,-
200640,200678,56,-
201417,201438,63,-
201520,201537,52,-
201676,201695,47,-
204146,204163,52,+
205417,205460,49,-
206125,206151,56,+
206733,206777,54,+
207603,207621,67,-
212546,212578,64,-
213095,213116,49,-
213393,213425,68,-
213938,213956,50,-
216904,216938,62,-
217947,217976,98,+
221367,221399,70,+
223033,223053,49,+
225748,225787,57,-
226017,226043,60,-
226297,226327,63,-
226502,226546,54,+
227901,227921,47,-
229683,229719,73,+
229746,229778,94,-
230571,230602,52,-
231731,231754,60,-
232367,232411,67,-
232608,232641,63,-
233046,233094,47,-
233324,233362,55,-
234293,234324,112,-
236438,236467,98,-
236688,236725,76,-
238115,238148,51,-
240415,240433,51,-
241001,241044,80,-
241506,241526,64,-
242204,242226,48,-
244274,244312,69,+
248093,248123,96,+
248188,248230,54,-
248277,248296,47,-
250637,250666,52,+
254868,254899,50,-
256353,256375,62,-
256446,256475,83,-
257030,257058,101,-
258390,258413,60,+
260155,260178,60,-
262818,262861,54,+
263548,263587,58,-
263787,263805,51,-
265247,265270,60,-
265322,265364,50,-
266837,266859,48,-
268724,268760,55,-
269142,269179,47,+
272498,272526,66,-
274079,274116,62,-
274700,274719,49,-
275278,275312,57,-
275656,275684,54,-
275687,275709,61,+
276932,276953,48,+
280022,280042,49,-
281021,281041,47,-
281134,281164,51,-
283775,283804,98,+
285043,285072,98,+
285515,285539,60,+
286304,286325,63,-
292918,292936,67,-
294784,294810,56,-
295843,295869,64,+
296693,296719,64,-
297515,297545,51,-
298531,298554,69,-
298773,298793,47,+
299090,299128,61,-
299664,299687,60,-
301010,301029,47,+
301235,301255,64,-
301697,301730,60,-
