start,end,score,strand
4244,4264,64,-
6443,6461,50,+
8060,8086,83,+
8919,8944,56,-
9084,9118,47,-
9255,9291,62,-
10773,10792,49,+
12808,12826,52,-
13812,13856,53,-
15621,15649,66,-
20692,20709,50,-
21921,21955,67,-
23620,23653,59,-
28261,28295,60,+
29106,29123,52,+
35145,35184,53,-
42647,42690,52,-
43875,43901,61,+
44961,45000,59,-
45362,45410,48,-
46180,46216,48,-
49286,49302,52,-
52531,52554,60,-
54855,54877,48,-
57047,57065,52,-
57066,57087,63,+
61408,61429,48,-
62331,62364,47,-
64057,64077,49,-
64719,64746,58,-
66317,66350,48,-
67316,67352,89,+
67543,67582,54,-
67648,67683,94,-
68231,68278,47,-
68832,68854,63,-
69047,69084,58,-
71340,71360,47,+
71584,71619,88,+
71636,71669,60,-
75139,75172,76,-
75597,75622,57,-
75857,75895,73,-
75915,75935,48,-
77022,77062,52,+
79671,79700,52,+
82878,82922,49,-
83719,83756,57,+
84419,84446,55,+
86297,86332,76,+
86497,86520,50,-
86842,86887,52,-
86928,86961,67,-
87012,87037,57,-
87242,87260,50,-
89826,89858,49,-
90778,90797,51,-
93069,93101,78,+
95685,95701,52,+
95888,95924,62,-
96895,96927,65,+
98237,98262,47,+
98783,98821,53,+
99925,99970,50,-
101842,101861,47,+
104641,104662,49,+
107521,107546,69,-
107588,107624,57,+
107944,107977,68,-
110046,110071,57,+
110211,110231,47,+
111288,111320,94,+
112629,112653,48,+
113350,113398,49,+
113939,113966,53,+
114338,114361,49,+
114714,114738,59,+
114787,114817,51,+
116167,116196,52,-
122005,122025,64,+
125073,125091,50,+
126995,127021,56,+
127189,127222,59,-
128350,128367,50,+
129272,129297,58,+
130016,130045,52,-
130627,130660,65,+
130820,130839,49,-
130996,131014,49,+
131098,131128,83,+
131326,131357,59,+
132414,132433,51,+
134520,134549,52,-
137841,137868,70,-
138414,138457,65,+
139360,139384,48,+
139463,139484,48,+
140892,140927,47,-
141332,141355,60,+
144878,144908,51,+
144929,144963,64,+
145091,145129,55,+
145453,145473,49,+
145861,145880,47,+
145982,146003,48,-
146172,146198,57,+
146614,146642,63,+
150034,150062,68,+
150876,150913,59,+
153670,153699,60,+
156207,156246,57,+
159952,159972,64,+
161005,161029,59,+
161164,161207,52,+
162973,162998,102,+
167564,167582,50,+
176655,176677,61,+
177365,177407,69,+
181049,181066,50,+
183170,183189,49,+
184347,184378,65,+
184774,184805,55,-
188611,188637,73,+
190916,190944,54,+
192034,192062,54,-
192647,192679,58,-
195303,195350,49,+
197819,197850,62,+
198072,198088,53,+
198917,198944,55,+
200925,200956,50,-
201950,201974,48,+
204500,204531,57,+
206013,206031,49,+
206312,206350,54,+
207483,207507,59,+
207562,207597,56,-
208465,208494,61,+
211702,211740,54,+
212429,212457,63,+
212463,212484,51,-
213127,213153,56,+
214715,214739,59,+
217130,217174,53,+
218436,218475,53,-
223713,223737,48,+
224005,224027,51,+
225691,225710,49,+
227481,227505,48,+
228990,229012,61,+
233103,233123,47,+
237315,237334,47,-
237480,237510,79,+
237578,237597,47,+
237642,237681,61,+
240934,240973,59,+
243403,243435,64,+
247874,247896,97,-
252203,252224,64,+
255994,256024,51,+
266541,266579,57,+
270325,270367,57,+
273496,273515,66,+
276498,276528,60,+
276691,276725,108,-
281868,281909,49,+
285195,285214,47,-
285366,285383,52,+
289228,289247,49,+
289395,289416,49,-
290431,290464,65,-
291641,291676,48,-
293956,293985,70,+
295307,295324,50,-
296254,296291,47,+
296526,296544,67,+
296700,296720,47,-
299660,299680,47,-
299846,299885,51,-
300339,300373,64,+
300646,300663,50,+
300930,300955,69,+
306990,307010,49,+
307716,307745,52,-
312317,312346,69,-
313930,313964,57,-
314345,314378,48,+
315340,315371,62,-
317579,317608,66,+
318115,318138,50,+
318273,318299,66,+
319357,319390,60,-
321448,321473,57,-
321823,321843,47,+
321955,321998,52,+
322938,322968,49,+
323645,323670,47,+
323857,323890,59,+
325681,325708,55,-
325882,325900,50,+
326495,326516,51,-
326751,326780,85,+
